Pressure (Pa),Time(s),Velocity(m/s),Altitude(m)
101327.401,0,0.074233788,0.034261483
101327.401,1,-0.077088387,-0.017130031
101326.2005,2,-0.114205281,-0.054246519
101331.0025,3,-0.048537625,-0.102784144
101327.401,4,-0.042828629,-0.145612773
101328.6015,5,0.131336597,-0.014276176
101327.401,6,-0.037117063,-0.051393239
101328.6015,7,-0.039972034,-0.091365273
101329.802,8,-0.099930424,-0.191295697
101329.802,9,0.025696264,-0.165599433
101328.6015,10,-0.011420156,-0.177019589
101331.0025,11,-0.071377835,-0.248397425
101331.0025,12,-0.051392529,-0.299789953
101329.802,13,0.117059982,-0.182729972
101328.6015,14,0.005710382,-0.177019589
101331.0025,15,-0.045681977,-0.222701566
101329.802,16,0.014275533,-0.208426033
101328.6015,17,0.074233044,-0.134192989
101329.802,18,-0.057102302,-0.191295292
101331.0025,19,-0.09136392,-0.282659212
101331.0025,20,-0.025695858,-0.30835507
101331.0025,21,0.00856532,-0.29978975
101331.0025,22,0,-0.29978975
101331.0025,23,-0.017130741,-0.316920492
101331.0025,24,0.094218925,-0.222701566
101328.6015,25,-0.742689567,-0.965391133
101332.203,26,-1.377131476,-2.342522608
101228.96,27,13.02622207,10.68369946
100635.913,28,57.29949993,67.98319939
99525.4505,29,61.41830574,129.4015051
99273.3455,30,63.05119298,192.4526981
98231.3115,31,60.774962,253.2276601
97460.5905,32,76.43829038,329.6659505
96849.536,33,50.34072389,380.0066744
96488.1855,34,32.4523496,412.459024
96303.3085,35,17.54686285,430.0058868
96183.2585,36,9.262515247,439.2684021
96159.2485,37,4.424341028,443.6927431
96237.281,38,-18.70550455,424.9872386
96707.877,39,-16.475868,408.5113706
96561.416,40,-12.28860962,396.222761
96782.308,41,-4.224423331,391.9983376
97000.799,42,-30.13037633,361.8679613
97505.009,43,-31.5015497,330.3664116
97748.7105,44,-29.07453919,301.2918724
97996.0135,45,-19.21433537,282.077537
98243.3165,46,-21.40972714,260.6678099
98501.424,47,-22.46318914,238.2046208
98775.138,48,-22.16809716,216.0365236
99017.639,49,-20.78311647,195.2534071
99299.7565,50,-27.43189045,167.8215167
99797.964,51,-40.18509996,127.6364167
100321.382,52,-39.79529587,87.84112085
100585.492,53,-27.16312205,60.67799879
100815.988,54,-21.51845004,38.96921485
101058.489,55,-18.32701715,24.48702641
